"01p07nea","06p07nea","94p07nea"
0.027193785,-0.009098858,0.009495279
-0.0658978,-0.043084953,-0.107964203
-0.169114381,-0.134929702,-0.226840451
-0.228279933,-0.198824316,-0.318814188
-0.258198887,-0.221114278,-0.34641552
-0.273458004,-0.199068934,-0.326673299
-0.28937313,-0.240779102,-0.326994747
-0.35138166,-0.327144086,-0.385324508
-0.361629367,-0.437071472,-0.476515353
-0.398206592,-0.489625096,-0.538680077
-0.453609556,-0.460969716,-0.533412158
-0.453112394,-0.426829249,-0.460838556
-0.343872726,-0.227352038,-0.233534768
-0.040726297,0.100099087,0.10771811
0.357670009,0.451048881,0.534856498
0.744147062,0.735468686,0.868894219
0.982803464,0.853805542,1.052354813
0.989561975,0.867274284,0.994902372
0.81674397,0.780591607,0.714970171
0.548087239,0.500711024,0.329894692
0.243452042,0.105199784,0.018929511
-0.044723522,-0.266699225,-0.306778252
-0.283823878,-0.491000056,-0.492910981
-0.383834779,-0.555309415,-0.56534189
-0.348382443,-0.470888317,-0.397190541
-0.258520007,-0.241955146,-0.140528858
-0.142027318,0.010132521,0.066682763
-0.04260258,0.096549913,0.155961052
0.020485409,0.026381716,0.1246273
-0.043170545,-0.088705033,-0.052330229
-0.166026056,-0.284041673,-0.276052743
-0.285045594,-0.468233705,-0.427332163
-0.403461814,-0.491855413,-0.504613042
-0.484203219,-0.458926052,-0.448740929
-0.438326955,-0.313247085,-0.333270669
-0.265616059,-0.091392219,-0.118739776
-0.03385675,0.207626954,0.135941103
0.276479572,0.459008604,0.357950389
0.547325432,0.683252931,0.581200778
0.697260857,0.774913371,0.717457891
0.66310215,0.739244878,0.684403658
0.49282831,0.567164779,0.478445202
0.224321276,0.349848032,0.175517082
-0.083164647,0.06140817,-0.176908731
-0.313971937,-0.217125177,-0.446494848
-0.390274793,-0.396328747,-0.507014573
-0.33513245,-0.405196965,-0.396538764
-0.213166326,-0.30840677,-0.296773106
-0.111693263,-0.226338893,-0.223813951
-0.048191104,-0.173845813,-0.142986849
-0.054687835,-0.167760104,-0.058223434
-0.095629126,-0.204231679,-0.03303571
-0.11993584,-0.177509397,-0.016686598
-0.077859759,-0.16149579,0.065094858
0.004072525,-0.051903989,0.08981359
0.114226699,0.077806935,0.150731176
0.209463507,0.255936027,0.234686434
0.257378548,0.368541211,0.283037633
0.308368832,0.391014546,0.365775287
0.310952544,0.346335351,0.276563287
0.226482689,0.238455832,0.156433582
0.095370889,0.111480854,-0.048003323
-0.040848613,0.010968599,-0.188069746
-0.178548321,-0.10131222,-0.297779381
-0.238398969,-0.158216983,-0.28041473
-0.249056846,-0.174277455,-0.207139105
-0.243673518,-0.134004861,-0.159567699
-0.152883381,-0.044949397,-0.078160465
-0.144799531,0.055321466,-0.035515353
-0.032739885,0.122132659,0.008380972
0.108661152,0.285205424,0.128944635
0.229382917,0.404647231,0.284935474
0.335332215,0.526587605,0.403848618
0.315261602,0.472413212,0.360342205
0.159176633,0.169560313,0.196481168
-0.176387638,-0.296204895,-0.168134511
-0.538856745,-0.812730551,-0.537812471
-0.770124137,-1.101874352,-0.768192232
-0.838845611,-1.079733133,-0.86718297
-0.656831145,-0.736152887,-0.681887329
-0.26678288,-0.141591907,-0.307634801
0.228663564,0.43127808,0.158395186
0.57103008,0.917129517,0.567215562
0.725190401,1.010979891,0.834330797
0.701547265,0.945770562,0.830737889
0.513559043,0.665297866,0.627963901
0.20133996,0.326613128,0.330735058
-0.118302077,0.011265874,-0.094653472
-0.320164889,-0.36262247,-0.416969866
-0.45212397,-0.557950735,-0.567424655
-0.484171361,-0.628762901,-0.617933571
-0.401186019,-0.459921956,-0.397603452
-0.254966199,-0.175595909,-0.122861296
-0.116268605,0.082612246,0.138832659
0.029658174,0.178984702,0.350525826
0.142414987,0.172698155,0.344409525
0.131366566,-0.034425251,0.206433684
0.00207299,-0.261511087,-0.070905715
-0.132582113,-0.365750283,-0.262729943
-0.205937326,-0.366075009,-0.315491319
-0.166144624,-0.208536208,-0.260400712
-0.00268127,-0.003122999,-0.099075198
0.152252421,0.186519876,0.123493448
0.243202388,0.314175844,0.299811542
0.229353726,0.379234016,0.350652099
0.18351458,0.381489396,0.32308349
0.121972024,0.283330321,0.233645439
0.050125904,0.139741674,0.080022544
-0.026153613,0.012407109,-0.042031378
-0.101385623,-0.154548764,-0.142590404
-0.17003274,-0.32916823,-0.20541431
-0.308045179,-0.478934258,-0.2661587
-0.371442825,-0.610365987,-0.295038104
