"01p07nea","06p07nea","94p07nea"
-0.027219642,-0.435319602,-0.095529616
0.08757478,-0.296727896,-0.078564942
0.139873981,-0.055926848,0.020599753
0.090238333,0.163411379,0.157098174
-0.002788581,0.282910168,0.243499458
-0.051966917,0.316960156,0.236213923
0.021365613,0.351420403,0.154367268
0.155364275,0.433488071,0.103706121
0.281026721,0.458663285,0.041292161
0.330286682,0.405983627,-0.008076929
0.250788391,0.255153537,-0.126366138
0.057318427,0.042190183,-0.214732826
-0.216430426,-0.216743886,-0.258645475
-0.411071241,-0.431953251,-0.204124153
-0.400098324,-0.530703008,-0.069349408
-0.181458592,-0.490630567,0.032308564
0.077238798,-0.338307261,0.137851059
0.212680221,-0.216521323,0.174088418
0.195176303,-0.07367754,0.205937326
0.087898612,0.036763698,0.210606754
-0.002726745,0.167876303,0.17800194
-0.060669519,0.287432492,0.153876066
-0.096856654,0.357840002,0.077716053
-0.130253553,0.348513424,-0.025353849
-0.156242609,0.188938558,-0.245074689
-0.163887739,0.010215029,-0.398914933
-0.13000977,-0.147995949,-0.46066463
-0.043441169,-0.144811094,-0.364330053
0.10967654,-0.05412773,-0.14281702
0.254743278,0.011884704,-0.011863768
0.271373093,0.000396274,0.068700612
0.081065416,-0.095790267,0.11145246
-0.250903964,-0.142177701,0.196497679
-0.495533347,-0.087794602,0.279877961
-0.558941126,0.044298619,0.244716704
-0.441176653,0.141640246,0.054124895
-0.243899465,0.119563699,-0.272757351
-0.008335195,0.016021252,-0.450190008
0.237377346,-0.124721706,-0.41552788
0.362216949,-0.188060641,-0.211129487
0.349377871,-0.192920566,0.098437786
0.218451858,-0.145772934,0.334226012
0.093350291,-0.090686202,0.466861367
0.014251947,-0.102308273,0.453109562
-0.066390514,-0.15787816,0.30094099
-0.129823864,-0.225460529,0.040782191
-0.090740561,-0.162064791,-0.234354198
0.120595157,0.033390507,-0.312712967
0.36163789,0.302796423,-0.199570119
0.456640363,0.488350987,0.01781553
0.298603117,0.502710044,0.190734804
-0.009670023,0.386606038,0.240166128
-0.226459384,0.198690653,0.266340077
-0.229396939,0.069588006,0.258723795
-0.067560077,0.018429704,0.214694083
0.123014152,0.073377073,0.111020088
0.23482132,0.1317662,-0.035390869
0.239406586,0.103792846,-0.153021634
0.139162719,-0.041690625,-0.308305562
-0.03181193,-0.286103308,-0.369052529
